"file","date","NDVI","NDVI_min","NDVI_max","NDVI_1","NDVI_2"
"HighDensityTile.jpg","21Oct18",-0.0714339329617615,-0.354330708661417,0.157534246575342,0.0551420952138447,-0.0105644325232401
"IMG_5709.JPG","21Oct18",0.0760826195498158,-1,1,0.190327125050996,NA
"IMG_5710.JPG","21Oct18",0.06268582095073,-0.346153846153846,1,0.172019429837905,NA
"IMG_5711.JPG","21Oct18",0.102119256718336,-1,1,0.22074952784087,NA
"IMG_5712.JPG","21Oct18",-0.0622455274572018,-0.638888888888889,0.6,0.150069677974437,0.054242967046535
"IMG_5713.JPG","21Oct18",-0.0476963965822012,-1,1,0.00200282731084052,-0.0325017166266462
"IMG_5714.JPG","21Oct18",0.00540928020889554,-0.881278538812785,1,-0.00265305961284518,-0.0056722364779289
"ModDensityCore.jpg","21Oct18",0.0131633607410299,-0.204819277108434,0.757575757575758,0.0882316949753042,0.0651517755535455
"ModerateDensityTile.jpg","21Oct18",-0.0374187288268638,-0.134986225895317,0.242718446601942,0.0703344874913693,0.0209956332210293
"MudByCreek.jpg","21Oct18",-0.0369148813622735,-1,1,0.0142023472256104,-0.0153918512755215
"WrackTile.jpg","21Oct18",-0.0607808487637318,-0.333333333333333,0.387755102040816,-0.00961943897764781,-0.0464302308349384
