"file","date","NDVI","NDVI_min","NDVI_max"
"HighDensity.jpg","Tiles22Oct18",-0.000539952637639717,-0.45088161209068,0.329192546583851
"M1.jpg","Tiles22Oct18",-0.00883416607960582,-0.278969957081545,0.268698060941828
"M10.jpg","Tiles22Oct18",0.00849787375913966,-0.2,0.62962962962963
"M2.jpg","Tiles22Oct18",-0.031587424049951,-0.269333333333333,0.251798561151079
"M3.jpg","Tiles22Oct18",0.0120800444555144,-0.0720338983050847,0.306122448979592
"M4.jpg","Tiles22Oct18",0.0105428606793684,-0.147826086956522,0.202846975088968
"M5.jpg","Tiles22Oct18",0.0761777198856525,-0.0934256055363322,0.504424778761062
"M6.jpg","Tiles22Oct18",-0.00622766898878911,-0.0927318295739349,0.361702127659574
"M7.jpg","Tiles22Oct18",-0.012339216674136,-0.132075471698113,0.285106382978723
"M8.jpg","Tiles22Oct18",-0.0182705490931396,-0.101538461538462,0.192982456140351
"M9.jpg","Tiles22Oct18",0.0384328019110787,-0.0688073394495412,0.28957528957529
"ModDensity.jpg","Tiles22Oct18",-0.00215519585202424,-0.102362204724409,0.148936170212766
"N1.jpg","Tiles22Oct18",0.0151480625241817,-0.215909090909091,0.48993288590604
"N10.jpg","Tiles22Oct18",-0.0612184557893275,-0.147902869757174,0.108196721311475
"N2.jpg","Tiles22Oct18",-0.0237511743197384,-0.312820512820513,0.662650602409639
"N3.jpg","Tiles22Oct18",-0.0366638853432553,-0.229773462783172,0.228346456692913
"N4.jpg","Tiles22Oct18",0.00759141045837816,-0.172413793103448,0.411764705882353
"N5.jpg","Tiles22Oct18",-0.0319211362652963,-0.0782608695652174,0.102974828375286
"N6.jpg","Tiles22Oct18",-0.0653949931988079,-0.221818181818182,0.160220994475138
"N7.jpg","Tiles22Oct18",-0.0409899779136484,-0.208053691275168,0.175257731958763
"N8.jpg","Tiles22Oct18",0.0262708173534083,-0.136690647482014,0.54054054054054
"N9.jpg","Tiles22Oct18",-0.0632094593324125,-0.23444976076555,0.0769230769230769
"Wrack.jpg","Tiles22Oct18",-0.0974042004703571,-0.517241379310345,0.626666666666667
